# Liste aller Normdaten-Eigenschaften {.unnumbered}

Die folgende Liste enthält alle in Wikidata vorhandenen [Normdaten-Eigenschaften](#normdaten-eigenschaften-in-wikidata) zum Zeitpunkt der Erstellung dieses Handbuchs. Der Begriff Normdaten (siehe [Einführung in Normdaten](#einführung-in-normdaten)) ist dabei etwas weiter gefasst. Aufgenommen sind alle Wikidata-Eigenschaften zum Verweisen mittels ID oder Notation auf externe Datenquellen. Als Grundlage wurden die Wikidata-Tools [Reasonator](http://meta.wikimedia.org/wiki/Reasonator/stringprops) und [AuthorityControl-Gadget](http://www.wikidata.org/wiki/MediaWiki:Gadget-AuthorityControl.js) herangezogen.

id | Name | Beschreibung
---|------|-------------
[`P212`](https://www.wikidata.org/wiki/Property:P212) | ISBN-13 | Internationale Standardbuchnummer (Vorgänger: ISBN-10, s. P957)
[`P213`](https://www.wikidata.org/wiki/Property:P213) | ISNI | International Standard Name Identifier (Eingabe mit Leerzeichen. Beispiel: 0000 0001 0886 1508.)
[`P214`](https://www.wikidata.org/wiki/Property:P214) | VIAF | Virtuelle internationale Normdatei für Personendaten (bitte nur individualisierte VIAFs eintragen, d.h. Nummern ohne den Vermerk "undifferentiated")
[`P215`](https://www.wikidata.org/wiki/Property:P215) | Spektralklasse | Klassifizierung astronomischer Objekte nach dem Spektrum
[`P218`](https://www.wikidata.org/wiki/Property:P218) | ISO 639-1 | Kennung für Namen von Sprachen von der Internationalen Organisation für Normung
[`P219`](https://www.wikidata.org/wiki/Property:P219) | ISO 639-2 | Kennung für Namen von Sprachen von der Internationalen Organisation für Normung
[`P220`](https://www.wikidata.org/wiki/Property:P220) | ISO 639-3 | Kennung für Namen von Sprachen von der Internationalen Organisation für Normung
[`P225`](https://www.wikidata.org/wiki/Property:P225) | wissenschaftlicher Name | wissenschaftlicher Name eines Lebewesens
[`P227`](https://www.wikidata.org/wiki/Property:P227) | GND-Nummer | internationale Normdatei für Personennamen, Körperschaften und Schlagworte (bitte nicht Typ n eintragen = Name, mehrdeutig)
[`P231`](https://www.wikidata.org/wiki/Property:P231) | CAS-Nummer | internationaler Bezeichnungsstandard für chemische Stoffe
[`P232`](https://www.wikidata.org/wiki/Property:P232) | EINECS-Nummer | Altstoffverzeichnis der EU
[`P233`](https://www.wikidata.org/wiki/Property:P233) | SMILES | chemischer Strukturcode
[`P234`](https://www.wikidata.org/wiki/Property:P234) | InChI | Internationale chemische Bezeichnung der IUPAC
