id,de,en,description
P212,ISBN-13,ISBN-13,"Internationale Standardbuchnummer (Vorgänger: ISBN-10, s. P957)"
P213,ISNI,"ISNI (ISO 27729)","International Standard Name Identifier (Eingabe mit Leerzeichen. Beispiel: 0000 0001 0886 1508.)"
P214,VIAF,"VIAF identifier","Virtuelle internationale Normdatei für Personendaten (bitte nur individualisierte VIAFs eintragen, d.h. Nummern ohne den Vermerk ""undifferentiated"")"
P215,Spektralklasse,"spectral class","Klassifizierung astronomischer Objekte nach dem Spektrum"
P218,"ISO 639-1","ISO 639-1","Kennung für Namen von Sprachen von der Internationalen Organisation für Normung"
P219,"ISO 639-2","ISO 639-2","Kennung für Namen von Sprachen von der Internationalen Organisation für Normung"
P220,"ISO 639-3","ISO 639-3","Kennung für Namen von Sprachen von der Internationalen Organisation für Normung"
P225,"wissenschaftlicher Name","taxon name","wissenschaftlicher Name eines Lebewesens"
P227,GND-Nummer,"GND identifier","internationale Normdatei für Personennamen, Körperschaften und Schlagworte (bitte nicht Typ n eintragen = Name, mehrdeutig)"
P231,CAS-Nummer,"CAS registry number","internationaler Bezeichnungsstandard für chemische Stoffe"
P232,EINECS-Nummer,"EINECS number","Altstoffverzeichnis der EU"
P233,SMILES,SMILES,"chemischer Strukturcode"
P234,InChI,InChI,"Internationale chemische Bezeichnung der IUPAC"
P235,InChIKey,InChIKey,"Eine vom InChI Code einer chemischen Verbindungen abgeleitete, 25 Zeichen lange, aus Buchstaben (14 + 10) sowie einem Bindestrich bestehende Zeichenkette zur 'eindeutigen' Kennzeichnung der Substanz."
P236,ISSN,ISSN,"Internationale Standardnummer für fortlaufende Sammelwerke"
P238,IATA-Flughafencode,"IATA airport code","alphanumerischer Code für Flughäfen"
P239,ICAO-Flughafencode,"ICAO airport code","alphanumerischer Code für Flughäfen"
P243,OCLC,"OCLC control number","OCLC-Nummer in WorldCat"
P244,LCNAF,"LCNAF identifier","Normdatensatz der Library of Congress (für einzelne Bücher siehe P1144)"
P245,ULAN,"Union List of Artist Names","Identifikationsnummer in der Union List of Artist Names"
P246,Elementsymbol,"element symbol","Kurzschreibweise für einzelne Atome eines chemischen Elements"
P247,COSPAR-Bezeichnung,"COSPAR ID","Katalognummer eines Raumflugkörpers auf einer Umlaufbahn"
P267,ATC-Code,"ATC code","Code des Anatomisch-Therapeutisch-Chemischen Klassifikationssystems"
P268,BnF,"BnF identifier","Normdateneintrag in der französischen Nationalbibliothek"
P269,"SUDOC Normdaten","SUDOC authorities","Normdateneintrag im gleichnamigen französischen Bibliotheksverbund (s. auch P1025)"
P270,CALIS,CALIS,"Normdateneintrag im gleichnamigen chinesischen Bibliotheksverbund"
P271,"CiNii Normdaten","CiNii author identifier","Normdateneintrag im gleichnamigen japanischen Verbundkatalog"
P278,"GOST 7.75-97","GOST 7.75-97 code",Sprachencode
P300,"ISO 3166-2 Code","ISO 3166-2","aus Ländercode und ein- bis dreistelligem alphanummerischem Code für subnationale Einheiten"
P303,EE-Nummer,"EE breed number","Objekt ist ein Bezeichner der EE-Liste der Rassetauben (ELRT)"
P345,IMDb-Identifikationsnummer,"IMDb identifier","Identifikationsnummer in der Internet Movie Database (IMDb) inklusive Präfix (tt-, nm-, ch-, co-)"
P347,Joconde,"Joconde ID","ID in der Joconde-Datenbank des französischen Kulturministeriums"
P349,"Web NDL Authorities","NDL identifier","Normdateneintrag in der Nationalen Parlamentsbibliothek (NDL), Japan"
P350,RKD-Werk-ID,RKDimages,"Identifikationsnummer in der Datenbank des Niederländischen Instituts für Kunstgeschichte (Rijksbureau voor Kunsthistorische Documentatie)"
P351,Entrez-Gene-Nummer,"Entrez Gene ID","Identifikationsnummer in der Entrez-Gene-Datenbank"
P352,UniProt-ID,"UniProt ID","Identifikationsnummer in der UniProt-Datenbank"
P353,Gen-Symbol,"gene symbol","Offizielles Gen-Symbol"
P354,HGNC-ID,"HGNC ID","Gene-ID aus der Datenbank HGNC"
P356,DOI,DOI,"digitaler Identifikator für physische, digitale oder abstrakte Objekte"
P359,Rijksmonument-Nummer,"Rijksmonument identifier","Identifikationsnummer von Rijksmonumenten, vergeben vom Rijksdienst voor het Cultureel Erfgoed"
P373,Commons-Kategorie,"Commons category","Name der Kategorie auf Wikimedia Commons, welche Dateien zu dem Objekt (item) beinhaltet (ohne das Präfix ""Category"")"
P374,INSEE-Gemeindecode,"INSEE municipality code","Schlüssel für französische Gemeinden"
P377,SCN,SCN,"Satellite Catalog Number"
P380,Mérimée-Kennzeichnung,"Mérimée identifier","Identifikator für die französischen Kulturdenkmäler-Datenbank Mérimée"
P381,KGS-DS-Nummer,"PCP reference number","Identifizierungsnummer des Kulturgüterschutzes in der Schweiz"
P382,CBS-Code,"CBS municipality code","vierstelliger niederländischer Ortscode des Centraal Bureau voor de Statistiek"
P395,Kfz-Kennzeichen,"licence plate code","international: Kfz-Nationalitätszeichen oder Kennzeichnung für Fahrzeuge in internationalem Verkehr. Innerstaatlich: Unterscheidungszeichen für den Verwaltungsbezirk"
P396,SBN,"SBN identifier","Normdatennummer der Italienischen Nationalbibliothek"
P402,OpenStreetMap-Relation-ID,"OpenStreetMap Relation ID","ID des geographischen Objekts in OpenStreetMap"
P409,NLA,"NLA identifier","Normdatennummer der Australischen Nationalbibliothek"
P424,Wikimedia-Sprachcode,"Wikimedia language code","Kürzel der Sprache, wie es in den Wikimedia-Projekten verwendet wird"
P428,"botanisches Autorenkürzel gemäß IPNI","botanist author abbreviation","offizielle Abkürzung des Subjekts Namen, wenn in der Taxonomie verwendet"
P434,MusicBrainz-Künstler-ID,"MusicBrainz artist ID","ID des Künstlers (Musiker, Schriftsteller) in MusicBrainz"
P435,MusicBrainz-Werk-ID,"MusicBrainz work ID","ID des Werkes in MusicBrainz"
P436,MusicBrainz-Veröffentlichungsgruppen-ID,"MusicBrainz release group ID","ID der Veröffentlichungsgruppe (vor allem Alben) in MusicBrainz"
P439,"Amtlicher Gemeindeschlüssel","German municipality key","für kreisfreie Städte und Kommunen in Deutschland"
P442,"chinesischer Code für Verwaltungseinheiten","China administrative division code","vergeben vom staatlichen Amt für Statistik der Volksrepublik China"
P464,NOR,NOR,"französischer Identifikationscode für amtliche Texte"
P477,Historic-Places-ID,"Canadian Register of Historic Places identifier","Identifikationsnummer im Canadian Register of Historic Places"
P481,Palissy-ID,"Palissy identifier","Identifikator für die französischen Kulturdenkmäler-Datenbank Palissy"
P486,MeSH-ID,"MeSH ID","Primärschlüssel der Medical-Subject-Headings-Datenbank"
P490,"provisorischer Name","provisional designation","Benennung von Asteroiden und Kometen unmittelbar nach ihrer Entdeckung, vor der Vergabe des dauerhaften Namens durch die Internationale Astronomische Union"
P492,OMIM-ID,"OMIM ID","Identifikationsnummer in der Gen-Datenbank Online Mendelian Inheritance in Man"
P493,ICD-9,ICD-9,"Internationale statistische Klassifikation der Krankheiten – Version 9"
P494,ICD-10,ICD-10,"Internationale statistische Klassifikation der Krankheiten und verwandter Gesundheitsprobleme, 10. Revision"
P496,ORCID,ORCID,"alphanumerischer Code zur Identifizierung wissenschaftlicher Autoren"
P498,"Währungscode (ISO 4217)","ISO 4217 code","Norm für Währungs-Abkürzungen von der Internationalen Organisation für Normung"
P502,HURDAT-Kennung,"HURDAT identifier","Identifikationsnummer in der North Atlantic hurricane database"
P506,"ISO 15924","ISO 15924","Code für Schriftsysteme"
P508,BNCF,"BNCF Thesaurus","bibliographischer Eintrag der italienischen Nationalbibliothek"
P528,Katalognummer,"catalog code","Bezeichnung in einem Katalog"
P535,"Find a Grave","Find a Grave ID","Identifikationsnummer in der Begräbnisstätten-Datenbank ""Find a Grave"""
P536,ATP-Kennung,"ATP ID","Identifikator für Tennisspieler in der Datenbank der ATP"
P539,Museofile,Museofile,"Primärschlüssel der Datenbank des französischen Kulturministeriums"
P549,MGP-ID,"Mathematics Genealogy Project identifier","Identifikationsnummer in der Mathematiker-Datenbank des Mathematics Genealogy Project"
P553,"Nutzerkonto in sozialem Netzwerk","website account on","zusammen mit Property:P554 zu verwenden"
P557,DiseasesDB-ID,DiseasesDB,"Kennung in der Diseases Database (diseasesdatabase.com)"
P563,ICD-O,ICD-O,"medizinische Klassifikation für die Onkologie"
P586,IPNI-Autor-ID,"IPNI author ID","Identifikator für eine Person im International Plant Names Index (IPNI)"
P587,MMSI,MMSI,"Rufnummer des mobilen Seefunkdienstes"
P590,GNIS,"GNIS ID","Identifikationsnummer im Geographic Names Information System der Vereinigten Staaten"
P592,ChEMBL,"ChEMBL ID","Kennung in der chemischen/biologischen Datenbank ChEMBL"
P593,HomoloGene-ID,"Homologene ID","Identifikationsnummer in der Datenbank von HomoloGene des National Center for Biotechnology Information"
P594,Ensembl-ID,"Ensembl Gene ID","Identifikationsnummer in der Datenbank des bioinformatisches Forschungsprojekts Ensembl"
P597,WTA-Kennung,"WTA ID","Identifikator für Tennisspielerinnen in der Datenbank der WTA"
P599,ITF-ID,"ITF ID","Kennung eines Tennisspielers auf der ITF-Webseite"
P600,"Wine AppDB-Identifikationsnummer","Wine AppDB-ID","ID in der Winehq Applikations-Datenbank"
P604,MedlinePlus-ID,"MedlinePlus ID","frei zugängliche Datenbank von Krankheitsbeschreibungen"
P613,OS-Planquadrat,"OS grid reference","auf Karten des britischen Ordnance Survey verwendetes Koordinatensystem (National Grid)"
P627,IUCN-ID,IUCN-ID,"Referenz für IUCN Artenschutzstatus (P141)"
P628,E-Nummer,"E number","Nummer für Lebensmittelzusätze, die in der EU legal sind"
P630,"Straßen-ID der Stadt Paris","Paris city digital code","digitale Kennung für Straßen in Paris"
P633,"Répertoire du patrimoine culturel du Québec","Répertoire du patrimoine culturel du Québec identifier","Identifikationsnummer im Verzeichnis des kulturellen Erbes von Quebec"
P635,ISTAT-ID,"ISTAT ID","vom staatlichen italienischen Statistikamt vergebene Identifikationsnummer für Gemeinden"
P637,Protein-ID,"RefSeq Protein ID","Protein Kennzeichnung"
P638,PDB-ID,"PDB ID","3D-Strukturdaten für Gene in der PDB-Datenbank"
P639,RNA-ID,"RefSeq RNA ID","RNA Kennzeichnung"
P640,Léonore-ID,"Léonore ID","Identifikationsnummer einer Person in der Léonore-Datenbank"
P643,"Genloc Chr","Genloc Chr (deprecated, use P1057)",Chromosom-Nummer
P646,Freebase-ID,"Freebase identifier","Kennung des gleichbedeutenden Eintrags in der Freebase-Datenbank"
P648,Open-Library-ID,"Open Library identifier","numerische Buch-Kennung für Werke (""W""), einzelne Ausgaben (""M"") und Autoren (""A"")"
P649,NRHP,"NRHP reference number","Identifikationsnummer im National Register of Historic Places des US-amerikanischen National Park Service"
P650,RKD-Künstler-ID,RKDartists,"Identifikationsnummer in der Datenbank des Niederländischen Instituts für Kunstgeschichte (Rijksbureau voor Kunsthistorische Documentatie)"
